"","municode","state","incumbent","vote_margin_pct","name","votes","party","cand_code","candidate_2000","win_2000"
"152",2011,"AM",1,5.19843487982113,"WILTON PEREIRA DOS SANTOS","1882","PPB","2011-wilton pereira dos santos",1,0
"153",2020,"AM",0,-11.593777516877,"ELIESO HERCULANO LIMA","1506","PMDB","2020-elieso herculano lima",0,0
"154",2020,"AM",1,11.593777516877,"ARMANDO CORREIA DE OLIVEIRA FILHO","1901","PPB","2020-armando correia de oliveira filho",1,1
"155",2038,"AM",0,-18.3401963889769,"GETULIO RODRIGUES LOBO","1289","PPB","2038-getulio rodrigues lobo",0,0
"156",2038,"AM",1,18.3401963889769,"ARISTHEU ALBERTO BRANDAO","1868","PRP","2038-aristheu alberto brandao",1,0
"157",2046,"AM",0,-6.19469026548673,"MARIA DAS GRACAS NOGUEIRA ALENCAR","3021","PPB","2046-maria das gracas nogueira alencar",0,0
"158",2046,"AM",1,6.19469026548673,"JOSE TEIXEIRA COSTA","3420","PSDB","2046-jose teixeira costa",0,0
"159",2054,"AM",0,-2.95918367346939,"ROSARIO CONTE GALATE NETO","951","PFL","2054-rosario conte galate neto",1,1
"160",2054,"AM",1,2.95918367346939,"TONY SERGIO JEAN DE SALES","1009","PMDB","2054-tony sergio jean de sales",1,0
"161",2070,"AM",0,-25.8478635753976,"JOSE THOME FILHO","1935","PFL","2070-jose thome filho",1,1
"162",2070,"AM",1,25.8478635753976,"IVAN ETHER","3284","PL","2070-ivan ether",0,0
"163",2097,"AM",0,-12.3677048684608,"MARCONI EDSON DE JESUS MENDES","1449","PFL","2097-marconi edson de jesus mendes",0,0
"164",2097,"AM",1,12.3677048684608,"JOSE RIBAMAR FONTES BELEZA","1858","PPB","2097-jose ribamar fontes beleza",1,1
"165",2119,"AM",0,-7.88101809260963,"MANOEL JOAO FERNANDES VALENTE","3004","PPB","2119-manoel joao fernandes valente",0,0
"166",2119,"AM",1,7.88101809260963,"MARIA DO SOCORRO DUTRA LINDOSO","3518","PFL","2119-maria do socorro dutra lindoso",1,0
